name,property_type,room_type,bedrooms,beds,bed_type,bathrooms,minimum_nights,maximum_nights,cancellation_policy,price,security_deposit,cleaning_fee,extra_people,guests_included,street,sub_urban,government_area,country_code,market,latitude,longitude,host_id,host_name,host_location,host_neighbourhood,host_identity_verified,host_is_superhost,host_response_rate,avilability_30,avilability_60,avilability_90,avilability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,total_reviews
Oporto Royal Apartment,Apartment,Entire home/apt,1.0,1,Real Bed,1.0,1,1125,flexible,120.0,0.0,0.0,0,1,"Porto, Porto, Portugal",,Bonfim,PT,Porto,41.14567,-8.59848,10135465,Andre,"Porto, Porto District, Portugal",-,yes,yes,100.0,21,51,81,353,10,10,10,10,10,10,91,3817
Gignas Studio Apartment,Apartment,Entire home/apt,0.0,1,Real Bed,1.0,32,1125,strict_14_with_grace_period,41.0,1100.0,50.0,0,1,"Barcelona, Catalunya, Spain",El Gòtic,el Barri Gòtic,ES,Barcelona,41.38164,2.17855,21873399,Sol,"Barcelona, Catalonia, Spain",Dreta de l'Eixample,yes,no,85.0,0,0,0,184,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Cozy home!,Apartment,Private room,1.0,1,Real Bed,1.0,1,1125,moderate,37.0,0.0,30.0,8,1,"Leichhardt, NSW, Australia",Annandale/Leichhardt,Leichhardt,AU,Sydney,-33.8802,151.14769,113419095,Laura,"Antioquia, Colombia",Annandale/Leichhardt,yes,no,0.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,249
"Wailea Ekahi Village 28F- 1 Bedroom, Ocean View!!",Condominium,Entire home/apt,1.0,2,Real Bed,2.0,4,80,strict_14_with_grace_period,305.0,300.0,125.0,0,1,"Kihei, HI, United States",Maui,Kihei-Makena,US,Maui,20.69808,-156.44098,173239198,Maui A Place A Part,US,Kihei/Wailea,no,no,100.0,0,19,42,186,10,10,10,10,10,10,100,714
"酒店式公寓,厅床出租,尊享免费泳池､健身房,仅限女性!Bunk Bed,“NO BOYS”!",Apartment,Shared room,1.0,1,Real Bed,1.0,1,1125,flexible,283.0,0.0,0.0,0,1,"Hong Kong, Kowloon, Hong Kong",Hung Hom,Kowloon City,HK,Hong Kong,22.30099,114.18672,131187325,Kay,"Kowloon, Hong Kong",Hung Hom,no,yes,100.0,15,44,74,347,10,10,10,10,10,10,97,11920
RAMBLAS 1,Apartment,Entire home/apt,1.0,3,Real Bed,1.0,2,103,strict_14_with_grace_period,100.0,0.0,80.0,0,1,"Barcelona, Catalunya, Spain",Ciutat Vella,el Raval,ES,Barcelona,41.38394,2.1663,36780006,Juan Carlos,"Barcelona, Catalonia, Spain",El Raval,no,yes,100.0,15,27,39,281,8,9,10,10,9,7,87,2
Sora Home-3  Qeen bed,House,Private room,1.0,1,Real Bed,1.5,2,1125,strict_14_with_grace_period,59.0,0.0,49.0,15,1,"Waikele, HI, United States",Oʻahu,Central Oahu,US,Oahu,21.40908,-158.01012,195465513,Myungsuk,"Waipahu, Hawaii, United States",Waipahu,no,yes,100.0,18,40,70,160,10,10,9,9,10,9,96,3555
HKU  STUDIO for  2.....(4c),Apartment,Entire home/apt,0.0,1,Real Bed,1.0,29,1125,flexible,267.0,1000.0,100.0,0,1,"Hong Kong, Hong Kong Island, Hong Kong",Shek Tong Tsui,Central & Western,HK,Hong Kong,22.28754,114.13231,97240131,Jov,"Hong Kong, Hong Kong",Kennedy Town,no,no,98.0,29,59,89,364,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
nice single room near unsw kingsford,Condominium,Private room,0.0,1,Real Bed,1.0,1,1125,flexible,70.0,0.0,20.0,0,1,"Kingsford, NSW, Australia",Kingsford,Randwick,AU,Sydney,-33.92315,151.23078,160391756,Chandler,AU,Kingsford,no,no,100.0,0,0,0,0,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Moradia Igreja de Paranhos - 2,House,Private room,1.0,1,Real Bed,1.0,6,15,flexible,14.0,0.0,20.0,0,1,"Porto, Porto, Portugal",,Paranhos,PT,Porto,41.17057,-8.60646,172398001,José,"Senhora da Hora, Porto, Portugal",-,no,no,0.0,0,0,0,230,9,9,10,10,9,7,93,796
